wp_ID,wp_post_title,wp_post_name,cf__sku,cf__price,cf__regular_price,cf__sale_price,cf__stock
3720,Playful Lace Top in White,playful-lace-top,PLT000,18,29.99,15,0
3709,Look At Me Party Dress in Black,look-party-dress,LAM000,20,29.99,20,0
3725,Polka Dot Princess Tee in Black,polka-dot-tee,PDP000,18,29.99,18,0
3732,Pretty in Pink Playsuit,pretty-pink-playsuit,PIP000,15,39.99,15,0
3748,Red Lips Party Dress,red-party-dress,RLP000,20,34.99,20,0
3755,Romeo Crop Top in Black,romeo-crop-top,RCT000,18,24.99,18,0
3768,Senorita Party Dress,senorita-party-dress,SPD000,20,39.99,20,0
3775,Serenity Floral Print Maxi Dress,floral-maxi-dress,SFM000,20,39.99,20,0
3739,Princess Playsuit in Pink,princess-playsuit-pink,PPP000,20,39.99,20,0
3761,Sassy Anne Jumpsuit in Blue,sassy-anne-jumpsuit,SAJ000,15,39.99,15,0
3781,Vixen Dress in White,vixen-dress-white,VPW000,20,34.99,20,0
3789,Wave Mesh Playsuit in White,wave-mesh-playsuit,WMP000,29.99,34.99,29.99,0
3796,Test Product (NOT FOR SALE),test-product-not-for-sale,TEST001,0.01,0.01,,8
3805,Party Dress Red Seduction - Medium,party-dress-red-seduction-medium,party-dress-red-seduction---medium,21.65,19.99,21.65,0
3812,Party Dress Red Seduction - Small,party-dress-red-seduction-small,party-dress-red-seduction---small,13.99,13.99,,0
3818,Mariana Playsuit in Black,mariana-playsuit-black,MPB000,49.99,69.99,49.99,0
3826,Tanya Pinstripe Playsuit in Black,tanya-pinstripe-playsuit,TPP000,49.99,69.99,49.99,0
3834,Voltage Playsuit in Black,voltage-playsuit-black,VPB000,49.99,69.99,49.99,0
3843,Symphony Party Dress in Navy,symphony-party-dress,SDN000,49.99,69.99,49.99,0
3850,Blue Mist Day Dress,blue-mist-dress,BMDD000,34.99,45,34.99,0
3857,Swing Party Dress in White,swing-party-dress,SPDW000,34.99,39.99,34.99,0
3864,Crystal Clear Playsuit in White,crystal-clear-playsuit,CCP000,25.99,,,0
3871,Bluebell Day Dress in Navy,bluebell-dress-navy,BBD000,25.99,,,0
3878,Southern Comfort Maxi Dress in Black,maxi-dress-black,SCM000,25.99,,,0
3884,Ruched Maxi Dress in Black,ruched-maxi-black,RMB000,20,,,0
3891,Ruched Maxi Dress in White,ruched-maxi-white,RMW000,20,,,0
4039,Pocket Dress,pocket-dress,,49,,,0
4045,Haze Hi Low Knit,haze-hi-low-knit,HHL001,49,,,
3105,Handmade Leather Bracelets - Assorted,handmade-leather-bracelets,BRACE017,9.99,9.99,5.99,3
3122,Chunky Beaded Necklace - Red,beaded-necklace,BRACE022,9.99,14.99,9.99,1
3248,Two Way Nail Art - Peach,nail-art-peach,NAIL015,4.99,4.99,,1
3239,Two Way Nail Art - Light Pink,nail-art-light-pink,NAIL008,4.99,4.99,,2
3243,Two Way Nail Art - Brown,nail-art-brown,NAIL012,4.99,4.99,,1
3193,Nail Stickers - Hearts & Kisses,nail-stickers-hearts-kisses,NAIL020,9.99,9.99,,2
3242,Two Way Nail Art - Dark Pink,nail-art-dark-pink,NAIL011,4.99,4.99,,1
3241,Two Way Nail Art - Emerald Green,nail-art-emerald-green,NAIL010,4.99,4.99,,1
3240,Two Way Nail Art - Rust Orange,nail-art-rust-orange,NAIL009,4.99,4.99,,1
