wp_ID,wp_post_title,wp_post_name,cf__sku,Source
3235,Two Way Nail Art - Lilac,nail-art-lilac,NAIL005,two-way-nail-art-lilac.html
3236,Two Way Nail Art - Red,nail-art-red,NAIL006,two-way-nail-art-red.html
3238,Two Way Nail Art - Green,nail-art-green,NAIL007,two-way-nail-art-green.html
3239,Two Way Nail Art - Light Pink,nail-art-light-pink,NAIL008,two-way-nail-art-light-pink.html
3240,Two Way Nail Art - Rust Orange,nail-art-rust-orange,NAIL009,two-way-nail-art-rust-orange.html
3241,Two Way Nail Art - Emerald Green,nail-art-emerald-green,NAIL010,two-way-nail-art-emerald-green.html
3242,Two Way Nail Art - Dark Pink,nail-art-dark-pink,NAIL011,two-way-nail-art-dark-pink.html
3243,Two Way Nail Art - Brown,nail-art-brown,NAIL012,two-way-nail-art-brown.html
3244,Two Way Nail Art - Silver Glitter,nail-art-silver-glitter,NAIL013,two-way-nail-art-silver-glitter.html
3246,Two Way Nail Art - Yellow,nail-art-yellow,NAIL014,two-way-nail-art-yellow.html
3248,Two Way Nail Art - Peach,nail-art-peach,NAIL015,two-way-nail-art-peach.html
3249,Two Way Nail Art - Dark Brown,nail-art-dark-brown,NAIL016,two-way-nail-art-dark-brown.html
3250,Two Way Nail Art - Turquoise,nail-art-turquoise,NAIL017,two-way-nail-art-turquoise.html
3251,Bohemian Style Beaded Bracelet - Yellow,beaded-bracelet-yellow,BRACE001,bohemian-multi-layer-bracelet-yellow.html
3255,Bohemian Style Beaded Bracelet - Green,beaded-bracelet-green,BRACE002,bohemian-multi-layer-bracelet-green.html
3259,Bohemian Style Beaded Bracelet - Blue,beaded-bracelet-blue,BRACE003,bohemian-multi-layer-bracelet-blue.html
3263,Bohemian Style Beaded Bracelet  - Pink,beaded-bracelet-pink,BRACE004,bohemian-multi-layer-bracelet-pink.html
3267,Bohemian Style Beaded Bracelet - Purple,beaded-bracelet-purple,BRACE005,bohemian-multi-layer-bracelet-purple.html
3271,Bohemian Anchor Bracelet - Baby Pink,bracelet-baby-pink,BRACE006,bohemian-anchor-bracelet-baby-pink.html
3275,Bohemian Anchor Bracelet - Pink,bracelet-pink,BRACE007,bohemian-anchor-bracelet-pink.html
3283,Bohemian Anchor Bracelet - Black,bracelet-black,BRACE009,bohemian-anchor-bracelet-black.html
3287,Rhinestone Choker - Lime Green,choker-lime-green,NECK001,rhinestone-choker-lime-green.html
3292,Rhinestone Choker - Yellow,choker-yellow,NECK002,rhinestone-choker-yellow.html
3296,Rhinestone Choker - Black,choker-black,NECK003,rhinestone-choker-black.html
3300,Rhinestone Choker - Turquoise,rhinestone-choker-turquoise,NECK004,rhinestone-choker-turquoise.html
3304,Layered Chain Necklace,layered-chanecklace,NECK005,multi-layer-casual-chain.html
3308,Sterling Silver Tear Drop Earrings - Silver ,tear-drop-earrings,EAR001,sterling-silver-tear-drop-earrings.html
3312,Triple Band Ring - Silver,triple-band-ring,RING001,triple-band-ring.html
3315,Starfish Charm Bracelet,starfish-charm-bracelet,BRACE010,starfish-charm-bracelet.html
3319,Candy Coloured Geometrical Drop Pendants - Blue,drop-pendants-blue,NECK008,candy-coloured-pendants-blue.html
3323,Candy Coloured Geometrical Drop Pendants - Orange,drop-pendants-orange,NECK009,candy-coloured-pendants-orange.html
3327,Candy Coloured Geometrical Drop Pendants - Pink,drop-pendants-pink,NECK010,candy-coloured-pendants-pink.html
3331,Candy Coloured Geometrical Drop Pendants - White,drop-pendants-white,NECK011,candy-coloured-pendants-white.html
3336,Candy Coloured Geometrical Drop Pendants - Green,drop-pendants-green,NECK012,candy-coloured-pendants-green.html
3344,Big Bubble Beaded Necklace - Multi Color,beaded-necklace-multicolor,NECK018,bubble-beaded-necklace-multi-color.html
3357,Feather Earrings  - Black,feather-earrings-black,EAR010,feather-earrings-black.html
3363,Feather Earrings  - Red,feather-earrings-red,EAR013,feather-earrings-red.html
3359,Feather Earrings  - Purple,feather-earrings-purple,EAR011,feather-earrings-purple.html
3361,Feather Earrings  - Green,feather-earrings-green,EAR012,feather-earrings-green.html
3367,Feather Earrings  - Brown,feather-earrings-brown,EAR015,feather-earrings-brown.html
3391,Authentic Handmade Bag (Large) - Purple,bag-large-purple,BAG010,handmade-bags-large-purple.html
3385,Authentic Handmade Bag  - Green,bag-green,BAG007,handmade-bags-green.html
3371,2 Broke Girls Inspired Necklace - Pearl,2-broke-girls,NECK019,2-broke-girls-inspired-necklace-pearl.html
3082,Mood Rings - Colour Changing,mood-rings-colour,RING009,mood-rings-colour-changing.html
3222,Gemstone Ring - Gemstone,gemstone-ring-gemstone,RING010,gemstone-ring-gemstone.html
3345,Feather Earrings  - White,feather-earrings-white,EAR005,feather-earrings-white.html
3401,Basic Party Dress in Black - Large,dress-black-large,BLDRS003,basic-party-dress-black-large.html
3400,Basic Party Dress in Black - Medium,dress-black-medium,BLDRS002,basic-party-dress-black-medium.html
3399,Basic Party Dress in Black - Small,dress-black-small,BLDRS001,basic-party-dress-black-small.html
3412,Black Strapless Party Dress - Medium,black-strapless-dress,BBDRS002,black-strapless-party-dress-medium.html
3411,Black Strapless Party Dress - Small,strapless-dress-small,BBDRS001,black-strapless-party-dress-small.html
3398,Ruffled Leopard Print Skater Dress - Large,leopard-dress-large,LDDRS002,ruffled-leopard-print-skater-dress-large.html
3397,Ruffled Leopard Print Skater Dress - Small,leopard-dress-small,LDDRS001,ruffled-leopard-print-skater-dress-small.html
3424,Midnight Magic Lace Dressin Black - Small,lace-dressblack-small,SBDRS001,midnight-magic-lace-dress-black-small.html
3425,Midnight Magic Lace Dress in Black - Medium ,lace-dress-black-medium,SBDRS002,midnight-magic-lace-dress-black-medium.html
